"movieId","Title","dampedmean","DampedMeanRank"
340,"War, The (1994)",8.51,1
511,"Program, The (1993)",6.3,2
156,"Blue in the Face (1995)",6.2,3
334,"Vanya on 42nd Street (1994)",6,4
64,"Two if by Sea (1996)",5.92,5
275,"Mixed Nuts (1994)",5.75,6
330,"Tales from the Hood (1995)",5.67,7
1177,"Enchanted April (1992)",5.55,8
35,"Carrington (1995)",5.5,9
302,"Queen Margot (Reine Margot, La) (1994)",5.46,10
73,"Misérables, Les (1995)",5.39,11
259,"Kiss of Death (1995)",5.39,11
2287,"Them! (1954)",5.32,12
421,"Black Beauty (1994)",5.3,13
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",5.29,14
627,"Last Supper, The (1995)",5.21,15
1006,"Chamber, The (1996)",5.17,16
213,"Burnt by the Sun (Utomlyonnye solntsem) (1994)",5.09,17
1034,"Freeway (1996)",5.04,18
3061,"Holiday Inn (1942)",5.03,19
1003,"Extreme Measures (1996)",5,20
1414,"Mother (1996)",5,20
1683,"Wings of the Dove, The (1997)",5,20
501,"Naked (1993)",4.97,21
229,"Death and the Maiden (1994)",4.92,22
2859,"Stop Making Sense (1984)",4.92,22
1083,"Great Race, The (1965)",4.9,23
3153,"7th Voyage of Sinbad, The (1958)",4.89,24
347,"Bitter Moon (1992)",4.88,25
445,"Fatal Instinct (1993)",4.86,26
1361,"Paradise Lost: The Child Murders at Robin Hood Hills (1996)",4.86,26
2349,"Mona Lisa (1986)",4.85,27
2070,"Tender Mercies (1983)",4.84,28
2130,"Atlantic City (1980)",4.84,28
1392,"Citizen Ruth (1996)",4.82,29
2303,"Nashville (1975)",4.8,30
1939,"Best Years of Our Lives, The (1946)",4.79,31
2736,"Brighton Beach Memoirs (1986)",4.79,31
2240,"My Bodyguard (1980)",4.77,32
2282,"Pecker (1998)",4.77,32
378,"Speechless (1994)",4.75,33
1633,"Ulee's Gold (1997)",4.75,33
2961,"Story of Us, The (1999)",4.73,34
1050,"Looking for Richard (1996)",4.72,35
2550,"Haunting, The (1963)",4.72,35
3102,"Jagged Edge (1985)",4.72,35
3467,"Hud (1963)",4.72,35
1797,"Everest (1998)",4.7,36
1949,"Man for All Seasons, A (1966)",4.69,37
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",4.68,38
